Number-Hand Mapping Task
Participant;003
Options;Numbers
Stimulus;Non-Canonical
Reps;2
Blocks;1
Version;3.02021
Date and Time;10-02-2021 10:28:40

Mapping Task


Block;Trial_Number;Number Shown;Key Pressed;Correct;RT;Mirror
1;1;2;0;1;0.471;0
1;2;1;0;0;0.78;1
1;3;3;0;1;0.322;0
1;4;9;0;1;0.235;0
1;5;2;0;1;0.249;1
1;6;1;0;0;0.397;1
1;7;7;0;1;0.13;1
1;8;2;0;0;0.95;0
1;9;6;0;1;0.273;1
1;10;4;0;0;0.48;0
1;11;5;0;1;0.245;1
1;12;6;0;0;0.178;1
1;13;8;0;0;0.988;0
1;14;9;0;0;0.178;0
1;15;2;0;0;0.124;1
1;16;7;0;1;0.847;0
1;17;5;0;0;0.295;0
1;18;4;0;0;0.084;1
1;19;3;0;1;0.139;1
1;20;7;0;0;0.004;0
1;21;5;0;1;0.944;0
1;22;8;0;1;0.454;1
1;23;3;0;0;0.937;0
1;24;8;0;0;0.426;1
1;25;6;0;0;0.003;0
1;26;9;0;0;0.163;1
1;27;1;0;0;0.395;0
1;28;3;0;1;0.597;1
1;29;4;0;0;0.019;0
1;30;6;0;0;0.059;0
1;31;4;0;0;0.802;1
1;32;9;0;1;0.825;1
1;33;1;0;1;0.403;0
1;34;5;0;0;0.078;1
1;35;8;0;0;0.887;0
1;36;7;0;0;0.949;1
